"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"7938",31.3,47,28,11,0.348,28.27,10.3,110,"Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 2",NA
"7939",48.1,25,51,13,0.43,25.89,6.1,93,"Intervalo 5","Intervalo 3",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"7956",30.4,29,79,39,0.325,22.29,6.3,137,"Intervalo 4","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 1",NA
"7957",16,39,61,43,0.266,22.99,9.1,109,"Intervalo 2","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
"7958",16.4,44,45,40,0.268,23.81,9.7,114,"Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 1",NA
"7959",28.7,50,51,40,0.331,24.74,9.2,99,"Intervalo 3","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 1",NA
"7960",31.4,54,76,40,0.344,24.77,10.4,109,"Intervalo 4",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 2",NA
"7961",28.9,56,97,44,0.331,24.35,12.2,105,"Intervalo 3",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"7962",29.6,57,92,47,0.334,23.66,11.9,107,"Intervalo 3",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"7963",31.4,48,83,56,0.34,22.08,10.8,105,"Intervalo 4","Intervalo 5",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"7964",42.4,28,74,62,0.394,20.68,7.3,106,"Intervalo 5","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"7965",65.7,9,91,68,0.509,19.25,4.8,104,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"7966",48.4,9,106,73,0.421,18.69,6.6,129,"Intervalo 5","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"7968",74.9,3,73,81,0.55,17.65,2.2,11,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 2"
