"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"3891",7.6,14,59,61,0,27.16,10.4,22,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3892",6.4,13,62,66,0,26.07,11.3,21,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3893",5.8,12,74,71,0,25.31,9.8,21,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 3"
"3894",6.8,11,56,73,0,24.86,9.9,22,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 3"
"3895",7.2,10,70,74,0,24.75,8.9,21,"Intervalo 1","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 3"
"3896",7.1,11,62,75,0,24.61,8.5,19,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3897",8.1,12,72,74,0,25,7,18,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3898",8.1,15,74,70,0,26.09,7.6,16,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3899",8.6,23,67,61,0,28.65,6.8,19,"Intervalo 1","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3900",9,41,82,51,0,31.26,7.2,19,"Intervalo 1","Intervalo 5",NA,NA,"Intervalo 1","Intervalo 4","Intervalo 1","Intervalo 2"
"3901",7.9,47,83,41,0,33.44,10.4,22,"Intervalo 1","Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3902",7.5,49,78,35,0,35.37,12.8,21,"Intervalo 1","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3903",6.7,49,75,28,0,37.4,14,22,"Intervalo 1","Intervalo 5",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3904",6.4,47,55,19,0,39.08,16.2,22,"Intervalo 1","Intervalo 5",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3905",6.1,44,62,15,0,39.27,21.4,20,"Intervalo 1","Intervalo 5",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 2"
"3909",9.2,30,85,16,0,36.05,18.2,22,"Intervalo 1","Intervalo 3",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3910",10.4,27,63,18,0,34.85,16.5,24,"Intervalo 2","Intervalo 3",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3911",10.8,21,62,34,0,33.05,17.7,19,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"3912",8.9,19,90,42,0,31.3,18.7,19,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"3913",7.2,19,87,46,0,30.06,17.1,20,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"3914",5.4,23,79,52,0,28.99,18,21,"Intervalo 1","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3916",4.5,22,68,60,0,26.3,15.2,22,"Intervalo 1","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3917",4.9,20,64,63,0,25.6,12.5,22,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3918",6.2,18,64,62,0,25.11,10.8,22,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3920",13.6,12,80,61,0,24.86,7.7,20,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3921",15,13,89,61,0,25.15,7.4,16,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3922",13.8,19,92,53,0,28.09,6.2,17,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3925",9.1,47,98,33,0,34.17,8.4,21,"Intervalo 1","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 1","Intervalo 3"
"3926",8.2,50,91,28,0,35.74,11.1,24,"Intervalo 1","Intervalo 5",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3927",8.6,41,85,24,0,36.65,15.4,21,"Intervalo 1","Intervalo 5",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3928",7.6,33,78,27,0,36.38,19.7,21,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3931",9.8,28,75,35,0,32.81,17.2,20,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"3932",8.5,26,68,40,0,31.24,19.9,23,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3935",8,26,80,45,0,29.39,19.7,22,"Intervalo 1","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3936",7,26,86,47,0,28.71,18.8,21,"Intervalo 1","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3937",6.2,24,59,52,0,27.97,19.4,22,"Intervalo 1","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3939",5.1,21,78,60,0,26.25,14.7,21,"Intervalo 1","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3942",7.9,17,76,56,0,25.31,8.1,18,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3943",13,11,72,57,0,24.85,8,17,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3944",16.1,10,81,58,0,25.03,7.7,19,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3945",17.5,13,93,61,0,24.94,7.7,14,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3946",14.8,19,92,56,0,26.94,5.1,13,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3947",14.5,31,91,49,0,29.41,6.2,15,"Intervalo 2","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"3948",12.5,45,99,42,0,31.92,6.3,17,"Intervalo 2","Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 1","Intervalo 2"
"3950",9.7,48,90,31,0,34.92,13.1,20,"Intervalo 1","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"3951",7.6,38,84,27,0,36.17,15.6,20,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"3952",7.3,35,77,27,0,36.43,18.4,20,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"3955",7.2,38,97,28,0,34.5,21.8,21,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"3956",8.8,37,53,29,0,32.97,23.8,21,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"3957",8,34,90,35,0,30.72,21.8,22,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"3958",7.6,34,67,37,0,29.26,20.4,22,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 3","Intervalo 3"
"3962",4.9,26,26,64,0,25.02,16.7,22,"Intervalo 1","Intervalo 3","Intervalo 3",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3963",4.9,24,39,67,0,24.67,14.3,22,"Intervalo 1","Intervalo 3","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3968",11.4,16,38,71,0,24.1,10.5,22,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3969",10.8,18,37,69,0,24.77,11.6,23,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3970",11.9,19,41,66,0,25.44,10.6,22,"Intervalo 2","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3971",9.7,23,39,62,0,26.62,14.1,22,"Intervalo 1","Intervalo 3","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3972",8.9,28,42,55,0,28.83,16.3,22,"Intervalo 1","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3973",8.4,32,53,48,0,30.72,12,23,"Intervalo 1","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3974",6.6,29,59,40,0,32.83,17.7,22,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3975",7.1,30,71,34,0,34.97,17.6,23,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"3976",6.5,33,79,31,0,35.24,21.5,21,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"3977",7.5,31,85,28,0,35.85,21.9,21,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"3978",8.6,29,74,29,0,35.53,22.6,21,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"3985",6,21,100,48,0,27.75,21.6,21,"Intervalo 1","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 3","Intervalo 3"
"3986",5.4,20,97,59,0,26.74,17.7,22,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3987",5,19,92,65,0,25.76,20.5,21,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 3","Intervalo 3"
"3988",5.3,18,98,68,0,25.07,17.9,21,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3989",5.6,17,73,70,0,24.53,16.9,21,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3990",7,14,100,71,0,24.09,13.4,22,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"3993",13.9,11,88,71,0,24.27,8.6,21,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 3"
"4008",7.8,17,99,48,0,27.34,16.6,20,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4009",8.1,15,100,52,0,26.5,13.4,19,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4010",8.9,13,92,56,0,25.82,10.1,18,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4011",9.2,12,96,60,0,25.06,8.9,18,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4013",9.9,10,94,67,0,23.92,9.1,19,"Intervalo 1","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4018",18.6,10,99,71,0,24.42,5.8,12,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
