"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"82",145.8,6,126,4,0.115,8.77,1.7,35,NA,"Intervalo 1",NA,"Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 4"
"83",63.2,14,119,3,0.267,11.53,1.6,66,NA,"Intervalo 2",NA,"Intervalo 1","Intervalo 1","Intervalo 2","Intervalo 1",NA
"84",46.5,20,80,4,0.399,13.78,2.2,96,"Intervalo 5","Intervalo 2",NA,"Intervalo 1","Intervalo 1","Intervalo 2","Intervalo 1",NA
"85",53.8,25,81,22,0.489,15.69,3.1,117,NA,"Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
"86",53.5,29,88,20,0.53,16.87,5.1,103,NA,"Intervalo 3",NA,"Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 1",NA
"87",53.2,32,79,23,0.511,18.42,5.2,109,NA,"Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
"88",56.7,36,77,13,0.446,20.35,3.8,118,NA,"Intervalo 4",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"89",57.5,39,84,20,0.333,21.03,5.7,108,NA,"Intervalo 4",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"90",58.4,37,91,11,0.173,20.22,6.2,125,NA,"Intervalo 4",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"108",108,17,151,4,0.429,22.9,2.5,63,NA,"Intervalo 2",NA,"Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1",NA
"109",24,35,125,8,0.528,24.56,5.3,112,"Intervalo 3","Intervalo 4",NA,"Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1",NA
"110",23.1,44,34,5,0.567,26.04,4.7,131,"Intervalo 3","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1",NA
"111",40.8,43,40,11,0.546,26.35,7.2,121,"Intervalo 5","Intervalo 5","Intervalo 4","Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"112",35.6,51,62,12,0.47,26.4,10.6,107,"Intervalo 4",NA,NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 2",NA
"113",28.9,58,51,12,0.349,26.62,9.9,103,"Intervalo 3",NA,NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"114",30.4,56,164,14,0.188,26.09,10,103,"Intervalo 4",NA,NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"115",34.7,44,56,19,0.012,23.84,7.8,131,"Intervalo 4","Intervalo 5",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"116",44.9,38,51,24,0,21.98,6.3,161,"Intervalo 5","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"117",43.9,36,55,25,0,21.08,6.1,165,"Intervalo 5","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"133",17.5,47,61,9,0.525,25.4,1.9,39,"Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 4"
"134",33.8,48,33,9,0.56,26.28,3.5,91,"Intervalo 4","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1",NA
"135",31.9,61,50,9,0.531,26.8,6.4,91,"Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1",NA
"136",45.5,69,61,9,0.452,26.48,10.9,106,"Intervalo 5",NA,NA,"Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 2",NA
"137",36.3,79,88,12,0.335,26.79,10.6,116,"Intervalo 4",NA,NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 2",NA
"138",35.1,73,76,12,0.178,26.33,9.2,127,"Intervalo 4",NA,NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"139",56.7,42,71,13,0.015,24.55,6.3,150,NA,"Intervalo 5",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"140",79.6,20,72,15,0,22.81,5.6,156,NA,"Intervalo 2",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"141",56.2,42,71,21,0,21.92,6.7,168,NA,"Intervalo 5",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"142",39.3,47,69,20,0,21.27,7,162,"Intervalo 4","Intervalo 5",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"143",30.3,48,53,30,0,20.64,5.4,151,"Intervalo 4","Intervalo 5",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"144",31.5,45,50,32,0,19.88,5.1,150,"Intervalo 4","Intervalo 5","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"145",26.9,45,39,35,0,19.08,6.3,144,"Intervalo 3","Intervalo 5","Intervalo 4","Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"146",16.6,49,40,41,0,18.4,6.5,140,"Intervalo 2","Intervalo 5","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"147",21.3,32,41,47,0,17.17,12.1,125,"Intervalo 3","Intervalo 4","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 2",NA
"148",23.6,22,61,66,0,15.86,9.1,136,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"149",21.5,24,131,59,0,15.16,9.7,151,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"150",20.5,25,50,58,0,13.74,9.8,142,"Intervalo 3","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"151",23.2,20,44,68,0,12.8,6.6,132,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
