"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"13406",19.7,92,107,39,0.766,35.2,16.8,121,"Intervalo 2",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13407",17.1,74,87,34,0.392,36.14,14,127,"Intervalo 2",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13408",10,53,68,33,0.202,36.01,11.5,157,"Intervalo 1",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13409",11.6,46,55,32,0.153,36.11,11.4,151,"Intervalo 2","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13410",11.9,42,46,31,0.16,36.22,12.1,142,"Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13411",11.7,38,47,29,0.103,36.85,10,155,"Intervalo 2","Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 1",NA
"13413",16.3,18,47,27,0,34,7.4,147,"Intervalo 2","Intervalo 2","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 1",NA
"13414",18.7,12,53,26,0,33.27,11.6,133,"Intervalo 2","Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13415",13.7,15,62,30,0,32.09,12.1,136,"Intervalo 2","Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13416",7.6,21,63,34,0,31.07,13,138,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13417",6.7,20,56,41,0,29.74,11.5,142,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13424",23.7,8,65,62,0.218,28.3,3.1,139,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13425",28.4,13,67,55,0.379,29.83,5.3,130,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13426",31.3,21,100,52,0.504,30.47,8,136,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 4","Intervalo 1",NA
"13427",33.8,38,99,51,0.593,30.66,11.9,146,"Intervalo 4","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 4","Intervalo 2",NA
"13428",28.4,65,121,47,0.761,31.66,16.4,140,"Intervalo 3",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13429",27.7,70,138,41,0.809,32.9,18,134,"Intervalo 3",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13430",20.4,86,116,35,0.785,34.07,17.8,132,"Intervalo 3",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13431",21,85,103,31,0.718,35.34,16.8,118,"Intervalo 3",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13432",18.4,80,92,30,0.598,36.24,15.1,116,"Intervalo 2",NA,NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13433",12,63,85,29,0.439,36.5,16.4,126,"Intervalo 2",NA,NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13434",10.1,45,67,30,0.259,36.43,16.5,137,"Intervalo 2","Intervalo 5",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13435",8.9,38,52,32,0.096,35.95,15.9,139,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13436",10,29,54,29,0.007,35.04,12.5,148,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13437",10.2,25,51,30,0,34.13,8.7,145,"Intervalo 2","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 1",NA
"13438",14.2,19,49,33,0,33.19,10,136,"Intervalo 2","Intervalo 2","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 1",NA
